index,zipCode,zipCount
0,77030,1534
1,10065,872
2,2215,684
3,63110,663
4,19104,545
5,2115,508
6,2114,476
7,37203,463
8,55905,460
9,98109,459
10,60637,436
11,48109,424
12,30322,420
13,46202,417
14,80045,404
15,90095,403
16,78229,396
17,43210,396
18,60611,395
19,48201,392
20,91010,377
21,33612,375
22,27710,359
23,94305,358
24,90033,350
25,44195,350
26,20892,341
27,37232,329
28,44106,321
29,10032,300
30,96813,292
31,27599,290
32,80218,285
33,92093,282
34,53226,280
35,67214,275
36,15232,275
37,29605,274
38,21287,274
39,8035,273
40,60612,271
41,75390,267
42,94115,267
43,97239,262
44,14263,250
45,73104,246
46,27157,245
47,98405,239
48,49503,236
49,19111,234
50,7601,231
51,10029,231
52,53792,227
53,10016,214
54,19107,213
55,29425,210
56,84112,210
57,75246,209
58,40202,204
59,55455,202
60,19713,199
61,14642,198
62,85259,197
63,48106,197
64,33136,194
65,92868,194
66,61615,193
67,6520,189
68,3756,187
69,94143,184
70,52242,182
71,10021,179
72,48202,176
73,50309,173
74,98104,172
75,35294,172
76,21201,171
77,17033,170
78,62526,170
79,21231,170
80,63141,166
81,20007,165
82,10467,164
83,90048,163
84,55416,162
85,95817,161
86,76104,156
87,22908,154
88,10461,153
89,59101,152
90,99508,151
91,96817,149
92,49007,148
93,58122,148
94,32806,147
95,97213,145
96,38105,143
97,72205,142
98,85258,141
99,23298,141
100,94805,141
101,45242,139
102,55805,137
103,67208,137
104,20010,136
105,54301,133
106,55109,133
107,15213,132
108,68198,131
109,60153,131
110,40536,130
111,85724,129
112,32224,128
113,90027,127
114,28204,126
115,65804,126
116,28041,126
117,94304,126
118,89169,125
119,11725,124
120,66160,124
121,98101,123
122,28050,122
123,61401,120
124,13210,120
125,8036,119
126,11042,117
127,70809,116
128,61354,115
129,61350,115
130,61801,114
131,92123,114
132,20133,114
133,50314,114
134,35233,114
135,70112,114
136,80220,113
137,68114,113
138,89148,112
139,37404,111
140,43623,111
141,30342,110
142,68510,109
143,46601,109
144,39216,109
145,8903,109
146,40138,108
147,50010,107
148,90404,107
149,59405,107
150,43215,107
151,43015,107
152,68130,106
153,58501,106
154,62702,104
155,87106,104
156,54303,103
157,29303,103
158,28034,103
159,43214,103
160,61761,102
161,94589,102
162,69120,102
163,98195,102
164,51101,101
165,80131,101
166,95661,101
167,45229,101
168,70121,100
169,54449,100
170,50325,100
171,89106,100
172,27534,100
173,22031,99
174,32610,99
175,59901,99
176,61554,99
177,38120,99
178,60201,98
179,63703,97
180,55407,96
181,45267,96
182,48912,96
183,28040,95
184,20141,95
185,31059,95
186,16132,95
187,48236,95
188,33916,95
189,75702,94
190,26506,94
191,65807,94
192,41013,94
193,80124,94
194,32803,93
195,95403,93
196,10604,93
197,80012,93
198,98122,93
199,94609,92
200,79106,92
201,28203,92
202,49085,92
203,67401,91
204,48073,91
205,96701,91
206,60426,90
207,28007,90
208,21204,89
209,30912,89
210,69373,88
211,75230,88
212,65401,87
213,11794,87
214,27103,87
215,51104,87
216,32207,87
217,17822,86
218,10591,86
219,64111,85
220,29615,85
221,75231,85
222,80501,84
223,61530,84
224,72076,84
225,46010,84
226,98105,83
227,53188,83
228,1307,83
229,97227,83
230,54476,83
231,30060,82
232,8003,82
233,48503,82
234,43055,82
235,46545,81
236,80907,81
237,48601,81
238,55404,81
239,48162,81
240,6105,81
241,49201,80
242,89081,80
243,23502,80
244,61455,80
245,91505,80
246,43219,80
247,48341,80
248,59802,80
249,33705,80
250,61520,80
251,43616,80
252,61265,79
253,61701,79
254,6510,79
255,62321,79
256,64108,79
257,94611,78
258,2903,78
259,59715,78
260,48093,78
261,15224,78
262,31405,78
263,99336,78
264,83706,78
265,44718,77
266,48060,77
267,48154,77
268,33021,77
269,54143,76
270,31008,76
271,8916,76
272,55101,76
273,59037,76
274,55435,76
275,89052,76
276,54601,75
277,55102,75
278,29414,75
279,55432,75
280,57105,75
281,46260,74
282,44805,74
283,7962,74
284,98902,74
285,89128,74
286,55125,74
287,61356,74
288,93720,74
289,44124,73
290,2111,72
291,55131,72
292,45429,72
293,80138,72
294,33140,71
295,66205,71
296,62781,71
297,72703,71
298,8043,71
299,50266,71
300,98684,71
301,7920,71
302,44035,70
303,53066,70
304,11040,70
305,20817,70
306,69495,70
307,29010,70
308,61637,70
309,57104,70
310,55433,69
311,28046,69
312,2118,69
313,19096,69
314,80113,69
315,80228,69
316,53081,69
317,94040,69
318,66044,69
319,60714,69
320,33076,68
321,89109,68
322,32804,68
323,45840,68
324,43130,68
325,20132,68
326,97225,68
327,67801,68
328,57117,68
329,67156,68
330,10126,68
331,55422,68
332,52403,67
333,67152,67
334,55415,67
335,66720,67
336,43537,67
337,67357,66
338,81675,66
339,54701,66
340,67068,66
341,67901,66
342,67114,66
343,95816,66
344,67124,66
345,30625,66
346,1805,65
347,49102,65
348,60068,65
349,92835,65
350,45409,65
351,50009,65
352,21215,65
353,29601,64
354,55082,64
355,94080,64
356,62401,64
357,64804,64
358,49221,64
359,67301,64
360,1655,64
361,6351,64
362,8901,64
363,54481,63
364,98310,63
365,55379,63
366,45415,63
367,66701,63
368,67042,63
369,56201,63
370,64132,63
371,55337,63
372,45373,63
373,37007,63
374,19718,62
375,93454,62
376,55387,62
377,68124,62
378,20246,62
379,46237,62
380,10003,62
381,38138,61
382,4074,61
383,94010,61
384,46514,61
385,44122,61
386,28222,61
387,95051,61
388,74136,61
389,61603,60
390,28801,60
391,12208,60
392,63131,60
393,59107,60
394,45005,60
395,45331,60
396,46360,60
397,35128,60
398,92354,60
399,77024,60
400,54494,60
401,75475,59
402,74146,59
403,60076,59
404,48502,59
405,30607,59
406,43560,59
407,45122,59
408,65109,58
409,168,58
410,68122,58
411,47014,58
412,95825,58
413,27403,58
414,54401,58
415,19958,58
416,45420,58
417,20889,57
418,15212,57
419,55350,57
420,75235,57
421,98201,56
422,46526,56
423,87131,56
424,96826,56
425,8103,55
426,85013,55
427,45406,55
428,43701,55
429,97080,55
430,80210,55
431,2905,55
432,27100,55
433,8907,55
434,49001,55
435,50937,55
436,98801,55
437,29307,55
438,94538,55
