index,County,FIPS,Met Objective of 160.6? (1),Age-Adjusted Death Rate,Lower 95% Confidence Interval for Death Rate,Upper 95% Confidence Interval for Death Rate,Average Deaths per Year,Recent Trend (2),Recent 5-Year Trend (2) in Death Rates,Lower 95% Confidence Interval for Trend,Upper 95% Confidence Interval for Trend
0,United States,0.0,No,168.5,168.3,168.7,"577,303",falling,-1.5,-1.6,-1.5
1,"Union County, Florida",12125.0,No,362.8,319.6,410.3,61,stable,-0.9,-2.3,0.4
2,"Wade Hampton Census Area, Alaska",2270.0,No,296.3,214.7,395.3,10,stable,0.5,-1.7,2.8
3,"Woodson County, Kansas",20207.0,No,293.9,227,377.2,16,rising,2.3,0.8,3.9
4,"Powell County, Kentucky",21197.0,No,292.5,252.1,337.7,40,stable,0,-1,0.9
5,"Madison County, Mississippi",28089.0,No,292.5,276.7,309,269,falling,-7.9,-10.6,-5.1
6,"Perry County, Kentucky",21193.0,No,280.8,255.1,308.4,93,stable,0.2,-0.6,1
7,"Nome Census Area, Alaska",2180.0,No,277.6,217.2,348.2,17,stable,0.9,-0.9,2.9
8,"Harlan County, Kentucky",21095.0,No,277.1,252.6,303.4,98,rising,0.9,0.1,1.8
9,"Lee County, Kentucky",21129.0,No,275.9,228.3,330.9,25,stable,0.5,-0.9,1.9
10,"Robertson County, Kentucky",21201.0,No,274,197.7,373.8,9,stable,-0.3,-2.3,1.8
11,"Mississippi County, Missouri",29133.0,No,270.5,236.5,308.3,47,stable,0.2,-0.8,1.3
12,"Martin County, Kentucky",21159.0,No,270.4,231.6,314,36,stable,-0.3,-1.5,1
13,"Lawrence County, Kentucky",21127.0,No,269.2,235.7,306.2,49,stable,0.4,-0.3,1
14,"Nicholas County, Kentucky",21181.0,No,267.6,220.7,322.1,23,stable,-0.2,-1.3,0.8
15,"Coahoma County, Mississippi",28027.0,No,266.7,239,296.8,70,rising,0.9,0.2,1.6
16,"Clay County, Kentucky",21051.0,No,266.2,235.8,299.5,59,stable,0.9,-0.1,1.9
17,"McCreary County, Kentucky",21147.0,No,265.8,233,301.9,51,rising,12.8,4.1,22.3
18,"Owsley County, Kentucky",21189.0,No,263.1,207.8,329.9,16,stable,0.3,-1.1,1.8
19,"Leslie County, Kentucky",21131.0,No,262.7,224.8,305.4,36,stable,0.4,-0.6,1.5
20,"Esmeralda County, Nevada",32009.0,No,262.1,154.7,450.3,4,**,**,**,**
21,"Jackson County, Kentucky",21109.0,No,261,225.3,300.9,40,stable,-0.1,-1.4,1.2
22,"Wolfe County, Kentucky",21237.0,No,259.5,213.1,313.5,23,stable,-0.5,-2.3,1.3
23,"Webster County, West Virginia",54101.0,No,259.5,220,304.6,33,rising,1.1,0.2,2
24,"Sioux County, North Dakota",38085.0,No,259.1,172.1,370.6,6,stable,-0.7,-4.2,3
25,"Cimarron County, Oklahoma",40025.0,No,258.7,187.3,351.9,10,stable,0.7,-1.7,3.1
26,"Estill County, Kentucky",21065.0,No,258.6,225.8,295.2,47,stable,0.6,-0.4,1.6
27,"Issaquena County, Mississippi",28055.0,No,257.8,154.1,407.4,4,falling,-48.1,-67.3,-17.6
28,"North Slope Borough, Alaska",2185.0,No,256.9,182.1,348.5,12,stable,-0.4,-2.9,2.1
29,"Scott County, Tennessee",47151.0,No,255.9,228,286.4,63,stable,-0.4,-1.1,0.3
30,"Carter County, Missouri",29035.0,No,255.8,207.8,312.4,21,stable,0.8,-0.7,2.3
31,"Quitman County, Mississippi",28119.0,No,254.5,210,305.9,24,stable,-0.1,-1.4,1.1
32,"Casey County, Kentucky",21045.0,No,254.3,223.8,288.2,52,stable,-6.2,-13.2,1.4
33,"Mineral County, Nevada",32021.0,No,254.3,206,313.2,20,stable,0.3,-1,1.5
34,"East Carroll Parish, Louisiana",22035.0,No,250.7,203.6,305.6,20,stable,-0.1,-1.4,1.3
35,"Dallas County, Arkansas",5039.0,No,250,208.9,297.5,28,stable,-0.5,-1.8,0.8
36,"Quitman County, Georgia",13239.0,No,250,179.7,342.9,10,stable,0.3,-2.5,3.1
37,"Lee County, Mississippi",28081.0,No,249.7,235.2,264.9,225,falling,-6.2,-10.4,-1.9
