index,County,countyCode,incidenceRate,avgAnnCount,recentTrend,5YearTrend
0,"Union County, Florida(6,10)",12125.0,1206.9,214,stable,1.7
1,"Williamsburg City, Virginia(6,10)",51830.0,1014.2,135,stable,44.6
2,"Lexington City, Virginia(6,10)",51678.0,755,49,stable,36.7
3,"Charlottesville City, Virginia(6,10)",51540.0,718.9,250,stable,18.1
4,"Covington City, Virginia(6,10)",51580.0,652,51,rising,46.8
5,"Petersburg City, Virginia(6,10)",51730.0,651.3,249,stable,11.3
6,"Bracken County, Kentucky(7,9)",21023.0,639.7,61,stable,3
7,"Powell County, Kentucky(7,9)",21197.0,630.4,91,stable,4.6
8,"Loup County, Nebraska(6,10)",31115.0,613.8,7,*,*
9,"Waynesboro City, Virginia(6,10)",51820.0,596.9,157,stable,9.8
10,"Bedford City, Virginia(6,10)",51515.0,596.6,51,stable,21.3
11,"Harrisonburg City, Virginia(6,10)",51660.0,591.1,190,stable,10.7
12,"Clay County, West Virginia(6,10)",54015.0,591,70,stable,-3.6
13,"Sherman County, Oregon(6,10)",41055.0,587.4,16,stable,-0.5
14,"Musselshell County, Montana(6,10)",30065.0,587,39,stable,-6.5
15,"Iberville Parish, Louisiana(7,9)",22047.0,586.2,211,stable,-0.8
16,"Sargent County, North Dakota(6,10)",38081.0,579.7,31,stable,-9.9
17,"Perry County, Kentucky(7,9)",21193.0,579.2,192,stable,0.5
18,"Mason County, Kentucky(7,9)",21161.0,578.9,121,stable,1.4
19,"Livingston County, Kentucky(7,9)",21139.0,578.6,78,stable,-4.1
20,"Buena Vista City, Virginia(6,10)",51530.0,578.2,46,stable,7.6
21,"Wyoming County, New York(6,10)",36121.0,577.4,281,stable,-4.4
22,"Kingsbury County, South Dakota(6,10)",46077.0,577,45,stable,3.3
23,"Meagher County, Montana(6,10)",30059.0,573.8,18,stable,8.3
24,"Nantucket County, Massachusetts(6,10)",25019.0,572.8,64,stable,-7.1
25,"Vilas County, Wisconsin(6,10)",55125.0,572.8,218,stable,-3
26,"Clay County, Kentucky(7,9)",21051.0,572.1,131,stable,2
27,"East Feliciana Parish, Louisiana(7,9)",22037.0,570.8,135,stable,-1.3
28,"Wolfe County, Kentucky(7,9)",21237.0,570.6,50,stable,-2.8
29,"Fredericksburg City, Virginia(6,10)",51630.0,566.3,120,stable,3.9
30,"Lake and Peninsula Borough, Alaska(6,10)",2164.0,564.6,6,*,*
31,"Henry County, Kentucky(7,9)",21103.0,564.5,104,stable,-5.9
32,"Bath County, Kentucky(7,9)",21011.0,564.2,79,stable,-3.5
33,"Simpson County, Kentucky(7,9)",21213.0,563.4,114,stable,-2.7
34,"Cumberland County, Kentucky(7,9)",21057.0,562.7,53,stable,-2
35,"Yalobusha County, Mississippi(6,10)",28161.0,561.9,90,stable,4.2
36,"Jackson County, Kentucky(7,9)",21109.0,561.4,88,stable,-1.2
37,"Humphreys County, Mississippi(6,10)",28053.0,560.9,55,stable,-2.7
38,"Knox County, Kentucky(7,9)",21121.0,560.5,209,falling,-7.2
39,"Cameron County, Pennsylvania(6,10)",42023.0,560.4,43,stable,-0.5
40,"Cape May County, New Jersey(7,8)",34009.0,559.1,847,stable,-0.1
41,"Torrance County, New Mexico(7,8)",35057.0,558.5,108,rising,17.1
42,"Leslie County, Kentucky(7,9)",21131.0,558.3,76,stable,2.5
43,"Dewey County, South Dakota(6,10)",46041.0,555.7,25,stable,2.8
44,"Perry County, Alabama(6,10)",1105.0,555.6,70,stable,-7.1
45,"Magoffin County, Kentucky(7,9)",21153.0,554.7,81,stable,0.4
46,"Holmes County, Mississippi(6,10)",28051.0,554.1,110,stable,-2.3
47,"Lewis County, West Virginia(6,10)",54041.0,553,124,stable,-3
48,"Nicholas County, Kentucky(7,9)",21181.0,552.9,49,stable,-2.2
49,"Macon County, Illinois(6,10)",17115.0,551.5,771,stable,-0.5
50,"Nelson County, Kentucky(7,9)",21179.0,551.5,252,stable,1.7
51,"Towns County, Georgia(7,9)",13281.0,550.7,106,stable,-2.7
52,"Floyd County, Kentucky(7,9)",21071.0,550.3,257,stable,0.1
53,"Chautauqua County, New York(6,10)",36013.0,550.1,950,stable,0
54,"Webster County, Mississippi(6,10)",28155.0,549.9,69,stable,-4.2
55,"Estill County, Kentucky(7,9)",21065.0,549.3,98,stable,3.6
56,"Grand Isle County, Vermont(6,10)",50013.0,548.5,48,stable,5.3
57,"Ida County, Iowa(7,8)",19093.0,548.4,57,rising,1.2
58,"Menifee County, Kentucky(7,9)",21165.0,548.3,43,stable,2.1
59,"McCreary County, Kentucky(7,9)",21147.0,547.8,107,stable,9.2
60,"Hopewell City, Virginia(6,10)",51670.0,547.6,139,stable,2.9
61,"Gloucester County, New Jersey(7,8)",34015.0,544.2,1691,rising,0.4
62,"Grayson County, Kentucky(7,9)",21085.0,544.2,171,stable,3
63,"Erie County, New York(6,10)",36029.0,544.1,6146,stable,0.1
64,"Sharkey County, Mississippi(6,10)",28125.0,543.8,33,stable,3.4
65,"Jackson County, Iowa(7,8)",19097.0,543.5,146,stable,0.5
66,"Stanley County, South Dakota(6,10)",46117.0,542.1,21,stable,-2.6
67,"Carter County, Kentucky(7,9)",21043.0,541.3,176,stable,3.6
68,"Grenada County, Mississippi(6,10)",28043.0,541.3,141,stable,0.1
69,"Osceola County, Michigan(6,10)",26133.0,541.3 #  ,165,falling,-8.5
70,"Rowan County, Kentucky(7,9)",21205.0,540.5,125,stable,-4
71,"Trimble County, Kentucky(7,9)",21223.0,540.3,53,stable,8.5
72,"Danville City, Virginia(6,10)",51590.0,539,320,stable,6.7
73,"Mineral County, Montana(6,10)",30061.0,538.8,35,rising,8.6
74,"Lewis County, Tennessee(6,10)",47101.0,538.7,82,stable,0.4
75,"Lewis County, Idaho(6,10)",16061.0,538.6,33,stable,-2.3
76,"Meade County, Kentucky(7,9)",21163.0,538.4,147,stable,1.1
77,"Sullivan County, Pennsylvania(6,10)",42113.0,538.3,59,stable,6.5
78,"Echols County, Georgia(7,9)",13101.0,538.1,19,stable,-8.9
79,"Logan County, Kentucky(7,9)",21141.0,538,175,stable,-1.4
80,"Staunton City, Virginia(6,10)",51790.0,537.9,181,rising,15.7
81,"Alpena County, Michigan(6,10)",26007.0,537.3 #  ,228,stable,-4
82,"Dallam County, Texas(6,10)",48111.0,537.2,29,stable,6.6
83,"Crawford County, Illinois(6,10)",17033.0,536.7,139,stable,-4.6
84,"Washington Parish, Louisiana(7,9)",22117.0,536.6,296,falling,-4.8
85,"Rensselaer County, New York(6,10)",36083.0,536.3,980,falling,-1.4
86,"Bullitt County, Kentucky(7,9)",21029.0,536.2,407,stable,-0.7
87,"Mercer County, Kentucky(7,9)",21167.0,536.1,143,stable,0.3
88,"Lumpkin County, Georgia(7,9)",13187.0,536.1,169,stable,-1.2
89,"Scott County, Mississippi(6,10)",28123.0,535.9,158,stable,1.6
90,"Ohio County, Indiana(6,10)",18115.0,535.7,42,stable,4.6
91,"Griggs County, North Dakota(6,10)",38039.0,535.5,22,stable,-4.9
92,"Scott County, Tennessee(6,10)",47151.0,535.4,134,stable,0.4
93,"Gilliam County, Oregon(6,10)",41021.0,535.4,16,stable,-12.1
94,"Christian County, Illinois(6,10)",17021.0,535.2,245,stable,-2.2
95,"Carlisle County, Kentucky(7,9)",21039.0,534.8,37,stable,-6.8
96,"Washington County, New York(6,10)",36115.0,534.1,418,stable,-4.5
97,"Madison County, Georgia(7,9)",13195.0,534,168,stable,-4.7
98,"Benton County, Tennessee(6,10)",47005.0,533.9,127,stable,-0.5
99,"Ohio County, Kentucky(7,9)",21183.0,533.6,153,stable,4.2
100,"Philadelphia County, Pennsylvania(6,10)",42101.0,533.5,8236,stable,-1.3
101,"Marion County, Illinois(6,10)",17121.0,533.4,271,stable,-0.7
102,"Cheatham County, Tennessee(6,10)",47021.0,533.3,214,stable,-1.4
103,"Adams County, Iowa(7,8)",19003.0,533.1,32,rising,1.7
104,"Gem County, Idaho(6,10)",16045.0,533,122,stable,-0.5
105,"Haakon County, South Dakota(6,10)",46055.0,532.8,16,rising,15.5
106,"Clinton County, New York(6,10)",36019.0,532.7,489,stable,-1.2
107,"Rhea County, Tennessee(6,10)",47143.0,532.5,206,stable,-3.7
108,"Jackson County, Arkansas(6,10)",5067.0,532.1,119,stable,-2.1
109,"Eddy County, North Dakota(6,10)",38027.0,532.1,20,stable,-1.5
110,"Wicomico County, Maryland(6,10)",24045.0,532.1,564,stable,-3.4
111,"Burlington County, New Jersey(7,8)",34005.0,531.8,2768,stable,0.1
112,"Laurel County, Kentucky(7,9)",21125.0,531.7,345,stable,0.5
113,"Buffalo County, South Dakota(6,10)",46017.0,531.6,7,*,*
114,"Macon County, Tennessee(6,10)",47111.0,531.4,135,stable,-5
115,"Whitley County, Kentucky(7,9)",21235.0,531.3,217,stable,1.6
116,"Greenup County, Kentucky(7,9)",21089.0,531.3,257,stable,2
117,"Camden County, New Jersey(7,8)",34007.0,530.9,2963,stable,0.1
118,"St. Landry Parish, Louisiana(7,9)",22097.0,530.4,497,stable,-0.2
119,"Robertson County, Kentucky(7,9)",21201.0,530.3,17,rising,16.4
120,"Spencer County, Kentucky(7,9)",21215.0,530.2,92,stable,-3.6
121,"Grundy County, Illinois(6,10)",17063.0,530.2,258,stable,-2.8
