index,zipCode,PovertyEst,avgAnnCount,avgDeathsPerYear,deathRate,incidenceRate,medIncome,popEst2015,povertyPercent,studyCount,studyPerCap,binnedInc
0,1001,80178,2371.0,1004,180.0,442.9,49072,470690,17.7,0,0.0,"(51046.4, 54545.6]"
1,1002,20809,715.0,291,164.4,415.4,57737,161292,15.0,0,0.0,"(48021.6, 51046.4]"
2,1003,20809,715.0,291,164.4,415.4,57737,161292,15.0,1,6.199935521,"(34218.1, 37413.8]"
3,1005,90611,4132.0,1539,171.5,470.3,65217,818963,11.5,0,0.0,"(37413.8, 40362.7]"
4,1007,20809,715.0,291,164.4,415.4,57737,161292,15.0,0,0.0,"(45201, 48021.6]"
5,1008,80178,2371.0,1004,180.0,442.9,49072,470690,17.7,0,0.0,"[22640, 34218.1]"
6,1009,80178,2371.0,1004,180.0,442.9,49072,470690,17.7,3,6.373621704,"[22640, 34218.1]"
7,1010,80178,2371.0,1004,180.0,442.9,49072,470690,17.7,6,12.74724341,"(40362.7, 42724.4]"
8,1011,80178,2371.0,1004,180.0,442.9,49072,470690,17.7,0,0.0,"[22640, 34218.1]"
9,1012,20809,715.0,291,164.4,415.4,57737,161292,15.0,2,12.39987104,"(37413.8, 40362.7]"
10,1013,80178,2371.0,1004,180.0,442.9,49072,470690,17.7,0,0.0,"(40362.7, 42724.4]"
11,1020,80178,2371.0,1004,180.0,442.9,49072,470690,17.7,0,0.0,"(34218.1, 37413.8]"
12,1022,80178,2371.0,1004,180.0,442.9,49072,470690,17.7,0,0.0,"(34218.1, 37413.8]"
13,1026,20809,715.0,291,164.4,415.4,57737,161292,15.0,0,0.0,"(34218.1, 37413.8]"
14,1027,20809,715.0,291,164.4,415.4,57737,161292,15.0,0,0.0,"(40362.7, 42724.4]"
15,1028,80178,2371.0,1004,180.0,442.9,49072,470690,17.7,0,0.0,"(45201, 48021.6]"
16,1029,16037,860.0,313,157.0,464.3,49890,127828,13.0,0,0.0,"(42724.4, 45201]"
17,1030,80178,2371.0,1004,180.0,442.9,49072,470690,17.7,0,0.0,"[22640, 34218.1]"
18,1031,90611,4132.0,1539,171.5,470.3,65217,818963,11.5,0,0.0,"(34218.1, 37413.8]"
19,1032,20809,715.0,291,164.4,415.4,57737,161292,15.0,0,0.0,"(34218.1, 37413.8]"
